state_name,district_name,market_center_name,Variety,group_name,Arrival,MIN,MAX,MODAL,date_arrival
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1095,700,2355,2001,01-01-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2153,700,2368,2100,01-03-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2207,851,2424,2151,01-04-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2297,800,2525,2151,01-05-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2385,800,2585,2201,01-06-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2639,700,2491,2180,01-07-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2316,700,2500,2051,01-08-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2441,800,2353,2070,01-10-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2722,800,2564,2075,01-11-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2962,700,2330,1850,01-12-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1991,700,2516,2100,01-14-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2398,700,2391,2100,01-17-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1473,1000,2425,2000,01-18-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2547,700,2590,2160,01-19-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2395,900,2596,2270,01-20-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2803,800,2552,2251,01-21-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1681,700,2431,2260,01-22-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2292,800,2525,2270,01-24-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2872,700,2512,2260,01-25-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1710,1000,2300,2100,01-27-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2757,600,2540,2160,01-28-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2001,700,2499,2151,01-29-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2347,600,2490,2151,01-31-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1602,500,2471,2140,02-01-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2457,500,2514,2125,02-02-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2190,601,2626,2060,02-03-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2312,600,2661,2151,02-04-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1307,551,2531,2170,02-05-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,950,900,2591,2201,02-07-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2080,700,2690,2251,02-08-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2013,800,2711,2351,02-09-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1882,1000,2956,2640,02-10-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2276,1100,2891,2651,02-11-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1442,900,2891,2600,02-12-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,3338,700,2801,2300,02-14-2022
Maharashtra,Nashik,Lasalgaon,Other,Vegetables,3338,1000,2780,2300,02-14-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1962,700,2817,2351,02-15-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1959,800,2831,2270,02-16-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1521,900,2922,2451,02-17-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,2285,1000,2999,2480,02-18-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1616,801,2851,2430,02-21-2022
Maharashtra,Nashik,Lasalgaon,Red,Vegetables,1996,800,2722,2370,02-22-2022
